teks,category
"Top deh, sampahnya rutin diangkut",sampah
"Mantap, lampu jalan terang semua",lampu jalan
Syukur air udah lancar lagi,air bersih
"Aman nih sekarang, ronda aktif",keamanan
Enak sekarang angkot teratur,transportasi
Bagus pasar udah bersih dan rapi,ekonomi
Keren sekolah fasilitasnya lengkap,pendidikan
"Saya Bapak Sumarno dari Jl. Mawar No. 15, jalan depan rumah rusak parah",jalan rusak
"Ibu Sartika RT 03 RW 02, listrik sering padam",listrik
"Nama lengkap saya Agus Wijaya, alamat Gang Melati 10",banjir
"Perkenalkan saya Dwi Rahayu, tinggal di Perumahan Indah",sampah
Saya Abdul Rahman warga Kampung Baru,lampu jalan
Ibu Endah Susilowati dari RT 05,air bersih
"Bapak Heri Susanto, alamat Jl. Kenanga",keamanan
Saya Ibu Retno Wulandari RT 07 RW 03,transportasi
"Muhammad Fadli, mahasiswa semester 5",ekonomi
Ibu Guru Nurhayati SD Harapan Bangsa,pendidikan
URGENT! Pohon tumbang timpa kabel listrik,listrik
"Mohon segera ditangani, anak kecil bisa terjatuh ke lubang",jalan rusak
Darurat! Banjir sudah masuk rumah,banjir
"Tolong cepat, sampah sudah sangat bau",sampah
Bahaya! Tiang lampu miring mau roboh,lampu jalan
"Emergency, air bersih terkontaminasi",air bersih
"Minta bantuan segera, ada pencurian",keamanan
Butuh perhatian khusus untuk anak berkebutuhan khusus,pendidikan
Kondisi pasar sudah tidak layak,ekonomi
Situasi transportasi sangat mendesak,transportasi
Saya marah banget dengan kondisi jalan ini!,jalan rusak
Sedih lihat anak-anak main di tempat kotor,sampah
Khawatir dengan keamanan lingkungan,keamanan
Frustasi dengan pelayanan yang lambat,administrasi
Kecewa dengan fasilitas yang tidak terawat,pendidikan
Geram dengan pencemaran lingkungan,lingkungan
Lelah menunggu perbaikan yang tak kunjung datang,listrik
Takut berjalan di jalan yang gelap,lampu jalan
Stress karena selalu banjir,banjir
Jengkel dengan transportasi yang tidak teratur,transportasi
Senang sekali ada perubahan positif,jalan rusak
Bangga dengan kemajuan kampung kami,listrik
Bahagia melihat lingkungan bersih,sampah
Lega masalah sudah teratasi,keamanan
Puas dengan pelayanan yang prima,administrasi
Kagum dengan fasilitas baru,pendidikan
Terharu dengan perhatian pemerintah,lingkungan
Optimis dengan masa depan yang cerah,lampu jalan
Tenang karena tidak ada banjir lagi,banjir
Nyaman dengan transportasi yang lancar,transportasi
